Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallRayBrain,2.219,2006.083,2.071,10432,-9.233
RollerBallRayBrain,2.207,2010.883,2.409,10252,-9.215
RollerBallRayBrain,2.246,2016.015,2.660,10788,-9.202
RollerBallRayBrain,2.241,2020.299,1.895,10243,-9.193
RollerBallRayBrain,2.230,2025.164,2.446,10367,-9.177
RollerBallRayBrain,2.206,2029.843,2.296,10278,-9.155
RollerBallRayBrain,2.213,2034.383,2.154,10254,-9.138
RollerBallRayBrain,2.195,2039.157,2.392,10331,-9.119
RollerBallRayBrain,2.227,2044.054,2.484,10298,-9.100
RollerBallRayBrain,2.208,2048.572,2.159,10333,-9.087
RollerBallRayBrain,2.199,2053.241,2.288,10318,-9.071
RollerBallRayBrain,2.212,2058.531,2.852,10402,-9.047
RollerBallRayBrain,2.219,2062.923,2.023,10268,-9.043
RollerBallRayBrain,2.210,2067.499,2.194,10406,-9.027
